,OBJECT,LAT,LON,ALTITUDE,ALT_NORM,NEAR_TEMPLE,NEAR_BATTLE_SITE,NEAR_ANCIENT_HARBOR,NEAR_POLIS,NEAR_MODERN_CITY,CLASSIFICATION
152,Object type: stemmed dish,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
153,Object type: lekythos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
154,Object type: oinochoe,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
155,Object type: cup,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
156,Object type: toy; lamp,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
157,Fragment eines Untersatzes mit zwei Löwenfüßen,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
158,Object type: figure-fitting,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
159,Object type: hook,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
160,Object type: hydria; amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
161,Object type: vessel,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
162,Ornamentblech (mehrere Fragmente) mit getriebenen Kreisverzierungen,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
163,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
164,Object type: coin,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
165,Object type: scarab; finger-ring,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
166,Object type: skyphos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
167,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
168,Object type: thymiaterion; lamp,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
169,Object type: vessel,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
170,Object type: coin,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
171,Object type: hearth lining,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
172,Object type: neck-amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
173,Object type: antefix,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
174,Object type: balance,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
175,Object type: capital,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
176,Object type: skyphos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
177,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
178,Object type: amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
179,Object type: pilaster,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
180,Object type: bead,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
181,Object type: mosaic pavement,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
182,Einstufiges quadratisches Gewicht (attisch-äginetischer Standard,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
183,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
184,Anhänger (Vogel auf Kugel),37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
185,Object type: pendant; diadem,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
186,Object type: alabastron,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
187,Object type: plate,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
188,Object type: ring,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
189,Object type: lagynos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
190,Object type: stemmed dish,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
191,Object type: bowl,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
192,Object type: necklace,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
193,Object type: square,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
194,Object type: oinochoe,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
195,Ohrlöffelchen mit gravierten Linien und Spitze unten,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
196,Object type: hydria,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
197,Object type: seal,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
198,Object type: sculpture,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
199,Gefäß in Form eines liegenden Löwen,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
200,Object type: tile,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
201,Object type: kylix,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
202,Object type: monument,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
203,Object type: flagon,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
204,Object type: jar; flagon,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
205,Object type: amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
